,Unnamed: 0,name,struct,addr,lat,lon
8760,8760,Средняя общеобразовательная школа № 216,(Государственное образовательное учреждение),"127206, Москва, Северный округ,  Вучетича улица, 6",55.80882,37.56044
8761,8761,Средняя общеобразовательная школа № 1213 с углубленным изучением английского языка,(Государственное образовательное учреждение),"127238, Москва, Северный округ,  1-й Нижнелихоборский проезд, 15",55.84743,37.56497
8762,8762,Средняя общеобразовательная школа № 929,(Государственное образовательное учреждение),"127434, Москва, Северный округ,  Немчинова улица, 8",55.8241,37.56738
8763,8763,Центр образования № 218,(Государственное образовательное учреждение),"127434, Москва, Северный округ,  Дмитровское шоссе, д. 5а 
127434 Дмитровское шоссе, 5а,стр.1",55.81198,37.57437
8764,8764,Средняя общеобразовательная школа № 475,(Государственное образовательное учреждение),"109390, Москва, Юго-Восточный округ,  Люблинская улица, 45",55.69494,37.73629
8765,8765,Средняя общеобразовательная школа № 51,(Государственное образовательное учреждение),"117513, Москва, Юго-Западный округ,  Ленинский проспект, 125, к. 4",55.64435,37.48287
8766,8766,Начальная школа - детский сад компенсирующего вида № 1850,(Государственное образовательное учреждение),"117133, Москва, Юго-Западный округ,  Теплый Стан улица, 12 Б",55.63021,37.48947
8767,8767,Средняя общеобразовательная школа № 696,(Государственное образовательное учреждение),"121601, Москва, Западный округ,  Филевский бульвар, 13, к.2",55.76449,37.48471
8768,8768,Средняя общеобразовательная школа № 1114,(Государственное образовательное учреждение),"121601, Москва, Западный округ,  Филевский бульвар, 3, к.2",55.76487,37.49138
8769,8769,Средняя общеобразовательная школа № 700,(Государственное образовательное учреждение),"121309, Москва, Западный округ,  Барклая улица, 5 А 
121309 Барклая улица, 5 А стр.2",55.73875,37.50208
8770,8770,"Средняя общеобразовательная школа ""Школа здоровья"" № 712",(Государственное образовательное учреждение),"121374, Москва, Западный округ,  Кутузовский проспект, 80",55.72575,37.45558
8771,8771,Средняя общеобразовательная школа № 261,(Государственное образовательное учреждение),"121108, Москва, Западный округ,  Кастанаевская улица, 29, к.1",55.735,37.48011
8772,8772,Гимназия № 1588,(Государственное образовательное учреждение),"121357, Москва, Западный округ,  Инициативная улица, 1",55.71657,37.46098
8773,8773,"Негосударственное образовательное учреждение ""Классический пансион МГУ им. Ломоносова""",(Негосударственное образовательное учреждение),"119899, Москва, Западный округ,  Воробьёвы горы улица, МГУ",55.700840250000006,37.5287121
