"Name";"Diameter";"TypeExit";"OnTerritoryOfMoscow";"AdmArea";"District";"Latitude_WGS84";"Longitude_WGS84";"NameMetroExit";"ObjectStatus";"global_id";"geoData";"geodata_center";
"Наименование прохода станции МЦД";"Станция МЦД";"Тип прохода";"На территории Москвы";"Административный округ";"Район";"Широта прохода в WGS-84";"Долгота прохода в WGS-84";"Ближайшие входы и выходы вестибюлей Московского метрополитена";"Статус объекта";"global_id";"geoData";"geodata_center";
"Щербинка (проход 2)";"nested data";"Вход-выход";"да";"Новомосковский административный округ";"район Щербинка";"55.510025";"37.563086";"";"действует";"1059340693";"{coordinates=[37.563086, 55.510025], type=Point}";"";
"Щербинка (проход 1)";"nested data";"Вход-выход";"да";"Новомосковский административный округ";"район Щербинка";"55.510494";"37.561857";"";"действует";"1059340694";"{coordinates=[37.561857, 55.510494], type=Point}";"";
"Бутово (проход 1)";"nested data";"Вход-выход";"да";"Юго-Западный административный округ";"район Южное Бутово";"55.541455";"37.570343";"";"действует";"1059340699";"{coordinates=[37.570343, 55.541455], type=Point}";"";
"Бутово (проход 2)";"nested data";"Вход-выход";"да";"Юго-Западный административный округ";"район Южное Бутово";"55.542280";"37.570686";"";"действует";"1059340700";"{coordinates=[37.570686, 55.54228], type=Point}";"";
"Бутово (проход 3)";"nested data";"Вход-выход";"да";"Юго-Западный административный округ";"район Южное Бутово";"55.542188";"37.571570";"";"действует";"1059340702";"{coordinates=[37.57157, 55.542188], type=Point}";"";
"Бутово (проход 4)";"nested data";"Вход-выход";"да";"Юго-Западный административный округ";"район Южное Бутово";"55.541744";"37.571435";"";"действует";"1059340703";"{coordinates=[37.571435, 55.541744], type=Point}";"";
"Битца (проход 1)";"nested data";"Вход-выход";"нет";"";"";"55.570229";"37.610387";"";"действует";"1059340704";"{coordinates=[37.610387, 55.570229], type=Point}";"";
"Битца (проход 2)";"nested data";"Вход-выход";"нет";"";"";"55.572271";"37.612116";"";"действует";"1059340705";"{coordinates=[37.612116, 55.572271], type=Point}";"";
"Битца (проход 3)";"nested data";"Вход-выход";"нет";"";"";"55.572234";"37.612393";"";"действует";"1059340706";"{coordinates=[37.612393, 55.572234], type=Point}";"";
"Битца (проход 4)";"nested data";"Вход-выход";"нет";"";"";"55.570753";"37.611222";"";"действует";"1059340707";"{coordinates=[37.611222, 55.570753], type=Point}";"";
"Покровское (проход 1)";"nested data";"Вход-выход";"да";"Южный административный округ";"район Чертаново Южное";"55.603288";"37.632215";"";"действует";"1059340712";"{coordinates=[37.632215, 55.603288], type=Point}";"";
"Покровское (проход 2)";"nested data";"Вход-выход";"да";"Южный административный округ";"район Чертаново Южное";"55.602542";"37.631900";"";"действует";"1059340713";"{coordinates=[37.6319, 55.602542], type=Point}";"";
"Царицыно (проход 3)";"nested data";"Вход-выход";"да";"Южный административный округ";"район Царицыно";"55.619053";"37.668957";"";"действует";"1059340714";"{coordinates=[37.668957, 55.619053], type=Point}";"";
"Царицыно (проход 8)";"nested data";"Вход-выход";"да";"Южный административный округ";"район Царицыно";"55.619279";"37.670191";"";"действует";"1059340715";"{coordinates=[37.670191, 55.619279], type=Point}";"";
"Царицыно (проход 9)";"nested data";"Вход-выход";"да";"Южный административный округ";"район Царицыно";"55.618847";"37.669472";"";"действует";"1059340716";"{coordinates=[37.669472, 55.618847], type=Point}";"";
"Царицыно (проход 4)";"nested data";"Вход-выход";"да";"Южный административный округ";"район Царицыно";"55.618182";"37.667020";"";"действует";"1059340719";"{coordinates=[37.66702, 55.618182], type=Point}";"";
"Царицыно (проход 5)";"nested data";"Вход-выход";"да";"Южный административный округ";"район Бирюлёво Восточное";"55.617292";"37.668901";"";"действует";"1059340720";"{coordinates=[37.668901, 55.617292], type=Point}";"";
